PROPERTY_TYPE	PROPERTY_VALUE	SEMANTIC_TAG	STUDY	BIOENTITY	ANNOTATOR	ANNOTATION_DATE
biopsy site	left	http://purl.org/ejp-rd/vocabulary/EJPCatalogOfRegistries	E-GEOD-10927	GSE10927GSM277147	Eleanor Williams	01/10/2014 18:32
biopsy site	right	http://purl.org/ejp-rd/vocabulary/DieseaseCode	E-GEOD-10927	GSE10927GSM277091	Eleanor Williams	01/10/2014 18:32
biosource type	fresh sample	http://purl.org/ejp-rd/vocabulary/DiseaseCodeSystem	E-MEXP-1635	C28	Eleanor Williams	01/10/2014 18:36
biosource type	fresh sample	http://purl.org/ejp-rd/vocabulary/ConceptScheme	E-MEXP-1950	Car-IS1.2	Eleanor Williams	01/10/2014 18:36
biosource type	fresh sample	http://purl.org/ejp-rd/vocabulary/patientregistrydataset	E-MEXP-2965	myb96ox C	Eleanor Williams	01/10/2014 18:36
biosource type	frozen sample	http://purl.org/ejp-rd/vocabulary/Belarus	E-MEXP-1275	BD31fe.CEL	Eleanor Williams	01/10/2014 18:36
biosource type	frozen sample	http://purl.org/ejp-rd/vocabulary/Bulgaria	E-MEXP-1578	WT2	Eleanor Williams	01/10/2014 18:36
biosource type	frozen sample	http://purl.org/ejp-rd/vocabulary/Czechia	E-MEXP-2011	Null Nurf301-1	Eleanor Williams	01/10/2014 18:36
biosource type	frozen sample	http://purl.org/ejp-rd/vocabulary/Greece	E-MEXP-2083	UC_nact_colon_103	Eleanor Williams	01/10/2014 18:36
biosource type	fresh sample	http://purl.org/ejp-rd/vocabulary/Hungary	E-MEXP-3623	B6_1	Eleanor Williams	01/10/2014 18:37
biosource type	frozen sample	http://purl.org/ejp-rd/vocabulary/Moldova	E-MEXP-231	DL67N	Eleanor Williams	01/10/2014 18:37
biosource type	frozen sample	http://purl.org/ejp-rd/vocabulary/Poland	E-MEXP-2992	SDH 1	Eleanor Williams	01/10/2014 18:37
biosource type	frozen sample	http://purl.org/ejp-rd/vocabulary/Romania	E-MEXP-3442	Taf10_3	Eleanor Williams	01/10/2014 18:37
biosource type	fresh sample	http://purl.org/ejp-rd/vocabulary/Russia	E-TABM-729	Arabidopsis thaliana hermaphrodite germinating embryo Wassilewskija 3	Eleanor Williams	01/10/2014 18:39
cell line	HT29	http://purl.org/ejp-rd/vocabulary/Slovakia	E-GEOD-15799	GSM396553 1	Eleanor Williams	01/10/2014 18:32
cell line	IGROV-1	http://purl.org/ejp-rd/vocabulary/Ukraine	E-GEOD-13763	GSE13763GSM346595	Eleanor Williams	01/10/2014 18:32
cell line	MCF10A	http://purl.org/ejp-rd/vocabulary/Denmark	E-GEOD-10070	GSE10070GSM254524	Eleanor Williams	01/10/2014 18:32
cell line	MCF10A	http://purl.org/ejp-rd/vocabulary/Estonia	E-GEOD-12764	GSE12764GSM320252	Eleanor Williams	01/10/2014 18:32
cell line	primary culture	http://purl.org/ejp-rd/vocabulary/Iceland	E-GEOD-10211	GSE10211GSM257865	Eleanor Williams	01/10/2014 18:32
