"entity"	"name"	"label"	"dataType"	"refEntity"	"nillable"	"idAttribute"	"enumOptions"	"defaultValue"	"rangeMin"	"rangeMax"	"lookupAttribute"	"labelAttribute"	"readOnly"	"aggregateable"	"visible"	"unique"	"partOfAttribute"	"expression"	"validationExpression"	"tags"	"description"	"mappedBy"	"description-de"	"label-de"	"description-en"	"label-en"	"description-es"	"label-es"	"description-fr"	"label-fr"	"description-it"	"label-it"	"description-nl"	"label-nl"	"description-pt"	"label-pt"	"description-xx"	"label-xx"
"rd_connect_AnatomicalSite"	"ID"	"ID"	"string"	""	"false"	"true"					"false"	"false"	"true"	"false"	"false"	"true"	""			""	"ID of the Ontology term"	""																
"rd_connect_AnatomicalSite"	"IRI"	"IRI"	"hyperlink"	""	"false"	"false"					"false"	"false"	"true"	"false"	"true"	"true"	""			""	"IRI of the concept in the ontology"	""																
"rd_connect_AnatomicalSite"	"PreferredTerm"	"Preferred term"	"string"	""	"false"	"false"					"true"	"true"	"false"	"false"	"true"	"false"	""			""	"Preferred term of the concept in the ontology"	""																
"rd_connect_AnatomicalSite"	"Description"	"Description"	"text"	""	"true"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	""			""	"Description of the concept in the ontology"	""																
"rd_connect_AnatomicalSite"	"Code"	"Code"	"string"	""	"false"	"false"					"true"	"false"	"false"	"false"	"true"	"false"	""			""	"Code of the concept in the ontology"	""																
"rd_connect_Biobank"	"name"	"Name"	"string"	""	"false"	"false"					"true"	"true"	"false"	"false"	"true"	"false"	""			""		""																
"rd_connect_Biobank"	"nameOfHostInstitution"	"Host institution"	"string"	""	"true"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	""			""		""																
"rd_connect_Biobank"	"city"	"City"	"string"	""	"true"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	""			""		""																
"rd_connect_Biobank"	"country"	"Country"	"string"	""	"true"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	""			""		""																
"rd_connect_Biobank"	"idCardUrl"	"ID Card"	"hyperlink"	""	"true"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	""			""		""																
"rd_connect_Biobank"	"organizationId"	"OrganizationID"	"string"	""	"false"	"true"					"false"	"false"	"true"	"false"	"false"	"true"	""			""		""																
"rd_connect_BoolWithNullFlavors"	"value"	"Value"	"string"	""	"false"	"true"					"false"	"false"	"true"	"false"	"true"	"true"	""			""	"Value code"	""																
"rd_connect_BoolWithNullFlavors"	"label"	"Label"	"string"	""	"false"	"false"					"true"	"true"	"false"	"false"	"true"	"false"	""			""	"Value label"	""																
"rd_connect_BoolWithNullFlavors"	"description"	"Description"	"string"	""	"false"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	""			""	"Value description"	""																
"rd_connect_DiagnosisType"	"value"	"Value"	"string"	""	"false"	"true"					"false"	"false"	"true"	"false"	"true"	"true"	""			""	"Value code"	""																
"rd_connect_DiagnosisType"	"label"	"Label"	"string"	""	"false"	"false"					"true"	"true"	"false"	"false"	"true"	"false"	""			""	"Value label"	""																
"rd_connect_DiagnosisType"	"description"	"Description"	"string"	""	"false"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	""			""	"Value description"	""																
"rd_connect_Disease"	"ID"	"ID"	"string"	""	"false"	"true"					"false"	"false"	"true"	"false"	"false"	"true"	""			""	"ID of the Ontology term"	""																
"rd_connect_Disease"	"IRI"	"IRI"	"hyperlink"	""	"false"	"false"					"false"	"false"	"true"	"false"	"true"	"true"	""			""	"IRI of the concept in the ontology"	""																
"rd_connect_Disease"	"PreferredTerm"	"Preferred term"	"string"	""	"false"	"false"					"true"	"true"	"false"	"false"	"true"	"false"	""			""	"Preferred term of the concept in the ontology"	""																
"rd_connect_Disease"	"Description"	"Description"	"text"	""	"true"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	""			""	"Description of the concept in the ontology"	""																
"rd_connect_Disease"	"Code"	"Code"	"string"	""	"false"	"false"					"true"	"false"	"false"	"false"	"true"	"false"	""			""	"Code of the concept in the ontology"	""																
"rd_connect_MaterialType"	"ID"	"ID"	"string"	""	"false"	"true"					"false"	"false"	"true"	"false"	"false"	"true"	""			""	"ID of the Ontology term"	""																
"rd_connect_MaterialType"	"IRI"	"IRI"	"hyperlink"	""	"false"	"false"					"false"	"false"	"true"	"false"	"true"	"true"	""			""	"IRI of the concept in the ontology"	""																
"rd_connect_MaterialType"	"PreferredTerm"	"Preferred term"	"string"	""	"false"	"false"					"true"	"true"	"false"	"false"	"true"	"false"	""			""	"Preferred term of the concept in the ontology"	""																
"rd_connect_MaterialType"	"Description"	"Description"	"text"	""	"true"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	""			""	"Description of the concept in the ontology"	""																
"rd_connect_MaterialType"	"Code"	"Code"	"string"	""	"false"	"false"					"true"	"false"	"false"	"false"	"true"	"false"	""			""	"Code of the concept in the ontology"	""																
"rd_connect_Registry"	"name"	"Name"	"string"	""	"false"	"false"					"true"	"true"	"false"	"false"	"true"	"false"	""			""		""																
"rd_connect_Registry"	"nameOfHostInstitution"	"Host institution"	"string"	""	"true"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	""			""		""																
"rd_connect_Registry"	"city"	"City"	"string"	""	"true"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	""			""		""																
"rd_connect_Registry"	"country"	"Country"	"string"	""	"true"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	""			""		""																
"rd_connect_Registry"	"idCardUrl"	"ID Card"	"hyperlink"	""	"true"	"false"					"false"	"false"	"false"	"false"	"true"	"false"	""			""		""																
"rd_connect_Registry"	"organizationId"	"OrganizationID"	"string"	""	"false"	"true"					"false"	"false"	"true"	"false"	"false"	"true"	""			""		""																
"rd_connect_Sample"	"ID"	"Sample ID"	"string"	""	"false"	"true"					"false"	"true"	"true"	"false"	"true"	"true"	""			""	"Sample ID as provided by the Biobank"	""																
