"ID"	"IRI"	"PreferredTerm"	"Description"	"Code"
"urn:miriam:uberon:0000000"	"http://purl.obolibrary.org/obo/UBERON_0000000"	"processual entity"	"An occurrent [span:Occurrent] that exists in time by occurring or happening, has temporal parts and always involves and depends on some entity."	"0000000"
"urn:miriam:uberon:0000002"	"http://purl.obolibrary.org/obo/UBERON_0000002"	"uterine cervix"	"Lower, narrow portion of the uterus where it joins with the top end of the vagina."	"0000002"
"urn:miriam:uberon:0000003"	"http://purl.obolibrary.org/obo/UBERON_0000003"	"naris"	"Orifice of the olfactory system. The naris is the route by which odorants enter the olfactory system[MAH]."	"0000003"
"urn:miriam:uberon:0000004"	"http://purl.obolibrary.org/obo/UBERON_0000004"	"nose"	"The olfactory organ of vertebrates, consisting of nares, olfactory epithelia and the structures and skeletal framework of the nasal cavity."	"0000004"
"urn:miriam:uberon:0000005"	"http://purl.obolibrary.org/obo/UBERON_0000005"	"chemosensory organ"		"0000005"
"urn:miriam:uberon:0000006"	"http://purl.obolibrary.org/obo/UBERON_0000006"	"islet of Langerhans"	"the clusters of hormone-producing cells that are scattered throughout the pancreas"	"0000006"
"urn:miriam:uberon:0000007"	"http://purl.obolibrary.org/obo/UBERON_0000007"	"pituitary gland"	"The pituitary gland is an endocrine gland that secretes hormones that regulate many other glands [GO]. An endocrine gland located ventral to the diencephalon and derived from mixed neuroectodermal and non neuroectodermal origin [ZFIN]."	"0000007"
"urn:miriam:uberon:0000009"	"http://purl.obolibrary.org/obo/UBERON_0000009"	"submucosa"	"A layer of dense irregular connective tissue that lines organs and supports the mucosa, as well as joins the mucosa to the bulk of underlying smooth muscle. [WP,unvetted]."	"0000009"
"urn:miriam:uberon:0000010"	"http://purl.obolibrary.org/obo/UBERON_0000010"	"peripheral nervous system"	"A major division of the nervous system that contains nerves which connect the central nervous system (CNS) with sensory organs, other organs, muscles, blood vessels and glands."	"0000010"
"urn:miriam:uberon:0000011"	"http://purl.obolibrary.org/obo/UBERON_0000011"	"parasympathetic nervous system"	"The parasympathetic nervous system is one of the two divisions of the vertebrate autonomic nervous system. Parasympathetic nerves emerge cranially as pre ganglionic fibers from oculomotor, facial, glossopharyngeal and vagus and from the sacral region of the spinal cord. Most neurons are cholinergic and responses are mediated by muscarinic receptors. The parasympathetic system innervates, for example: salivary glands, thoracic and abdominal viscera, bladder and genitalia[GO]."	"0000011"
"urn:miriam:uberon:0000012"	"http://purl.obolibrary.org/obo/UBERON_0000012"	"somatic nervous system"	"Part of peripheral nervous system that includes the somatic parts of the cranial and spinal nerves and their ganglia and the peripheral sensory receptors."	"0000012"
"urn:miriam:uberon:0000013"	"http://purl.obolibrary.org/obo/UBERON_0000013"	"sympathetic nervous system"	"The sympathetic nervous system is one of the two divisions of the vertebrate autonomic nervous system (the other being the parasympathetic nervous system). The sympathetic preganglionic neurons have their cell bodies in the thoracic and lumbar regions of the spinal cord and connect to the paravertebral chain of sympathetic ganglia. Innervate heart and blood vessels, sweat glands, viscera and the adrenal medulla. Most sympathetic neurons, but not all, use noradrenaline as a post-ganglionic neurotransmitter [GO]."	"0000013"
"urn:miriam:uberon:0000014"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"zone of skin"	"Any portion of the organ that covers that body and consists of a layer of epidermis and a layer of dermis."	"0000014"
"urn:miriam:uberon:0000015"	"http://purl.obolibrary.org/obo/UBERON_0000015"	"non-material anatomical boundary"	"A non-material anatomical entity of two dimensions. Anatomical boundaries are contiguous structures."	"0000015"
"urn:miriam:uberon:0000016"	"http://purl.obolibrary.org/obo/UBERON_0000016"	"endocrine pancreas"	"The part of the pancreas that is part of the endocrine system and is made up of islet cells, which produce insulin, glucagon and somatostatin."	"0000016"
"urn:miriam:uberon:0000017"	"http://purl.obolibrary.org/obo/UBERON_0000017"	"exocrine pancreas"	"The part of the pancreas that is part of the exocrine system and which produces and store zymogens of digestive enzymes, such as chymotrypsinogen and trypsinogen in the acinar cells [GO]."	"0000017"
"urn:miriam:uberon:0000018"	"http://purl.obolibrary.org/obo/UBERON_0000018"	"compound eye"	"A light sensing organ composed of ommatidia"	"0000018"
"urn:miriam:uberon:0000019"	"http://purl.obolibrary.org/obo/UBERON_0000019"	"camera-type eye"	"An organ of sight that includes the camera-type eyeball and supporting structures such as the lacrimal apparatus, the conjunctiva, the eyelid."	"0000019"
"urn:miriam:uberon:0000020"	"http://purl.obolibrary.org/obo/UBERON_0000020"	"sense organ"	"An organ that is capable of transducing sensory stimulus to the nervous system."	"0000020"
