"ID"	"IRI"	"PreferredTerm"	"Description"	"Code"
"http://www.orpha.net/ORDO/ObsoleteClass"	"http://www.orpha.net/ORDO/ObsoleteClass"	"obsolete_class"	"ORPHA number withdrawn from the Orphanet nomenclature of rare disease. This includes deprecated entities, that were clinical entities thought to be unique in the past but now considered, thanks to the evolution of the knowledge, part of another clinical entity."	"http://www.orpha.net/ORDO/ObsoleteClass"
"urn:miriam:ncit:C113725"	"urn:miriam:ncit:C113725"	"Undiagnosed"	"Refers to an underlying pathologic process that has not been identified."	"C113725"
"urn:miriam:ncit:C49651"	"urn:miriam:ncit:C49651"	"Healthy subject"	"An individual who is or becomes a participant in a research study and has no significant health-related issues."	"C49651"
"urn:miriam:ncit:C50913"	"urn:miriam:ncit:C50913"	"Invalid Data"		"C50913"
"urn:miriam:ncit:C94342"	"urn:miriam:ncit:C94342"	"Healthy Control"	"A healthy subject that is matched with an affected individual in a trial."	"C94342"
"urn:miriam:orphanet:10"	"urn:miriam:orphanet:Orphanet_10"	"48,XXYY syndrome"	"The 48,XXYY syndrome represents a chromosomal anomaly of the aneuploidic type characterized by the presence of an extra X and Y chromosome in males."	"10"
"urn:miriam:orphanet:100"	"urn:miriam:orphanet:Orphanet_100"	"Ataxia-telangiectasia"	"Ataxia-telangiectasia is the association of severe combined immunodeficiency (affecting mainly the humoral immune response) with progressive cerebellar ataxia. It is characterised by neurological signs, telangiectasias, increased susceptibility to infections and a higher risk of cancer."	"100"
"urn:miriam:orphanet:1000"	"urn:miriam:orphanet:Orphanet_1000"	"Ocular albinism with late-onset sensorineural deafness"	"Ocular albinism with late-onset sensorineural deafness is a rare, X-linked inherited subtype of ocular albinism characterized by severe visual impairment, translucent pale-blue irises, a reduction in the retinal pigment and moderately severe deafness with onset ranging from adolescence to fourth or fifth decade of life."	"1000"
"urn:miriam:orphanet:100000"	"urn:miriam:orphanet:Orphanet_100000"	"Reticular perineurioma"		"100000"
"urn:miriam:orphanet:100001"	"urn:miriam:orphanet:Orphanet_100001"	"Sclerosing perineurioma"		"100001"
"urn:miriam:orphanet:100002"	"urn:miriam:orphanet:Orphanet_100002"	"Extraneural perineurioma"	"Extraneural perineurioma is a rare tumor of cranial and spinal nerves arising from peripheral nerve sheet and composed exclusively or predominantly of cells showing perineurial differentiation. It presents as a well-circumscribed, rarely encapsulated mass, not associated with a recognizable nerve, most commonly arising in the dermis and subcutis of the extremities or trunk, or, rarely, in deep soft tissue or skin (e.g., in the stomach, kidney, pancreas, maxillary sinus, mandible, bronchial tree and the face). The clinical presentation depends on the localization."	"100002"
"urn:miriam:orphanet:100003"	"urn:miriam:orphanet:Orphanet_100003"	"Intraneural perineurioma"	"Intraneural perineurioma is a rare tumor of cranial and spinal nerves arising from peripheral nerve sheet and composed exclusively or predominantly of cells showing perineurial differentiation. It presents as a localized, tubular or fusiform enlargement of a nerve or nerve segment, usually in the extremities or the trunk, associated with a motor-predominant mononeuropathy including slow, painless, gradual loss of motor function in the involved nerve trunk with muscle weakness and atrophy and, rarely, sensory dysfunction. Cranial nerve involvement is rare."	"100003"
"urn:miriam:orphanet:100006"	"urn:miriam:orphanet:Orphanet_100006"	"ABeta amyloidosis, Dutch type"	"Hereditary cerebral hemorrhage with amyloidosis, Dutch type (HCHWA-D) is a form of HCHWA (see this term), a group of familial central nervous system disorders, characterized by severe cerebral amyloid angiopathy (CAA), hemorrhagic and non-hemorrhagic strokes and dementia."	"100006"
"urn:miriam:orphanet:100008"	"urn:miriam:orphanet:Orphanet_100008"	"ACys amyloidosis"	"Hereditary cerebral hemorrhage with amyloidosis (HCHWA), Icelandic type is a form of HCHWA (see this term) characterized by an age of onset of 20-30 years, systemic amyloidosis and recurrent lobar intracerebral hemorrhages."	"100008"
"urn:miriam:orphanet:100011"	"urn:miriam:orphanet:Orphanet_100011"	"Lissencephaly with cerebellar hypoplasia type A"	"Lissencephaly with cerebellar hypoplasia type A (LCHa) is a form of lissencephaly with cerebellar hypoplasia that encompasses classical lissencephaly with thickened cortical gray matter with either no discernable gradient, a gradient with posterior predominance, or a gradient with anterior predominance, and cerebellar vermis hypoplasia."	"100011"
"urn:miriam:orphanet:100012"	"urn:miriam:orphanet:Orphanet_100012"	"Lissencephaly with cerebellar hypoplasia type B"	"Lissencephaly with cerebellar hypoplasia type B (LCHb) is a form of lissencephaly with cerebellar hypoplasia characterized by subtle microcephaly, hypotonia and neurological and cognitive development delay. Hippocampal malformation is a characteristic imaging feature of LCHb."	"100012"
"urn:miriam:orphanet:100013"	"urn:miriam:orphanet:Orphanet_100013"	"Lissencephaly with cerebellar hypoplasia type C"	"Lissencephaly with cerebellar hypoplasia type C (LCHc) is a severe form of lissencephaly with cerebellar hypoplasia characterized by severe microcephaly, cleft palate, and severe cerebellar and brainstem hypoplasia leading to neonatal death."	"100013"
"urn:miriam:orphanet:100014"	"urn:miriam:orphanet:Orphanet_100014"	"Lissencephaly with cerebellar hypoplasia type D"	"Lissencephaly with cerebellar hypoplasia type D (LCHd) is a form of lissencephaly with cerebellar hypoplasia characterized by pronounced microcephaly (at least Â± 3 SD), intellectual disability, spastic diplegia and moderate to severe cerebellar hypoplasia involving both vermis and hemispheres."	"100014"
"urn:miriam:orphanet:100015"	"urn:miriam:orphanet:Orphanet_100015"	"Lissencephaly with cerebellar hypoplasia type E"	"Lissencephaly with cerebellar hypoplasia type E (LCHe) is a form of lissencephaly with cerebellar hypoplasia, characterized by an abrupt transition from agyria to gyral simplification, near the boundary between frontal and parietal cortex, microcephaly (Â± 3 SD) and brainstem hypoplasia."	"100015"
"urn:miriam:orphanet:100016"	"urn:miriam:orphanet:Orphanet_100016"	"Lissencephaly with cerebellar hypoplasia type F"	"Lissencephaly with cerebellar hypoplasia type F (LCHf) is a severe form of lissencephaly with cerebellar hypoplasia, characterized by a microcephaly of at least - 3 SD and a thick cortex associated with complete absence of the corpus callosum."	"100016"
"urn:miriam:orphanet:100019"	"urn:miriam:orphanet:Orphanet_100019"	"Refractory anemia with excess blasts type 1"	"Refractory anemia with excess blasts (RAEB), type 1 is a severe type of RAEB (see this term) characterized by cytopenias and the following hematological parameters: uni- or multilineage dysplasia, 5% to 9% blasts in bone marrow or 2% to 4% in peripheral blood, and no Auer rods (abnormal, needle-shaped or round inclusions in the cytoplasm of myeloblasts and promyelocytes). Median survival has been reported to be 18 months."	"100019"
"urn:miriam:orphanet:100020"	"urn:miriam:orphanet:Orphanet_100020"	"Refractory anemia with excess blasts type 2"	"Refractory anemia with excess blasts (RAEB), type 2 is a very severe type of RAEB (see this term) characterized by cytopenias and the following hematological parameters: uni- or multilineage dysplasia, 10% to 19% blasts in bone marrow or 5% to 19% in peripheral blood, variable presence of Auer rods (abnormal, needle-shaped or round inclusions in the cytoplasm of myeloblasts and promyelocytes). Median survival has been reported to be 18 months."	"100020"
"urn:miriam:orphanet:100021"	"urn:miriam:orphanet:Orphanet_100021"	"Primary plasmacytoma of the bone"		"100021"
"urn:miriam:orphanet:100022"	"urn:miriam:orphanet:Orphanet_100022"	"Extramedullary soft tissue plasmacytoma"		"100022"
"urn:miriam:orphanet:100024"	"urn:miriam:orphanet:Orphanet_100024"	"Mu-heavy chain disease"	"Mu-heavy chain disease (mu-HCD) is a type of HCD (see this term) characterized by the production of incomplete monoclonal mu-heavy chains without associated light chains. The clinical presentation resembles that of patients with chronic lymphocytic leukemia/small lymphocytic lymphoma (CLL/SLL; see this term)."	"100024"
"urn:miriam:orphanet:100025"	"urn:miriam:orphanet:Orphanet_100025"	"Alpha-heavy chain disease"	"Alpha-heavy chain disease (alpha-HCD) is a type of HCD (see this term) characterized by the production of incomplete monoclonal alpha-heavy chains without associated light chains. Alpha-HCD is considered to be a subtype of immunoproliferative small intestinal disease (IPSID; see this term). The clinical presentation includes chronic diarrhea with evidence of malabsorption."	"100025"
"urn:miriam:orphanet:100026"	"urn:miriam:orphanet:Orphanet_100026"	"Gamma-heavy chain disease"	"Gamma-heavy chain disease (gamma-HCD) is a type of HCD (see this term) characterized by the production of incomplete monoclonal gamma-heavy chains without associated light chains. The clinical presentation most commonly resembles that of patients with systemic lymphoproliferative/autoimmune diseases."	"100026"
"urn:miriam:orphanet:100031"	"urn:miriam:orphanet:Orphanet_100031"	"Hypoplastic amelogenesis imperfecta"		"100031"
"urn:miriam:orphanet:100032"	"urn:miriam:orphanet:Orphanet_100032"	"Hypocalcified amelogenesis imperfecta"		"100032"
"urn:miriam:orphanet:100033"	"urn:miriam:orphanet:Orphanet_100033"	"Hypomaturation amelogenesis imperfecta"		"100033"
"urn:miriam:orphanet:100034"	"urn:miriam:orphanet:Orphanet_100034"	"Hypomaturation-hypoplastic amelogenesis imperfecta with taurodontism"		"100034"
"urn:miriam:orphanet:100035"	"urn:miriam:orphanet:Orphanet_100035"	"Solitary necrotic nodule of the liver"	"Solitary necrotic tumor of the liver is a rare nonmalignant hepatic lesion characterized by a mass with a completely necrotic core often partially calcified, surrounded by a dense hyalinized fibrous capsule containing elastin fibers. Patients are usually asymptomatic but some may suffer from intermittent abdominal pain or discomfort."	"100035"
"urn:miriam:orphanet:100039"	"urn:miriam:orphanet:Orphanet_100039"	"Familial pseudohyperkalemia type 1"		"100039"
"urn:miriam:orphanet:100040"	"urn:miriam:orphanet:Orphanet_100040"	"OBSOLETE: Familial pseudohyperkalemia type 2"		"100040"
"urn:miriam:orphanet:100041"	"urn:miriam:orphanet:Orphanet_100041"	"OBSOLETE: Familial pseudohyperkalemia, Cardiff type"		"100041"
"urn:miriam:orphanet:100043"	"urn:miriam:orphanet:Orphanet_100043"	"Autosomal dominant intermediate Charcot-Marie-Tooth disease type A"	"Autosomal dominant intermediate Charcot-Marie-Tooth disease type A is a rare hereditary motor and sensory neuropathy characterized by intermediate motor median nerve conduction velocities (usually between 25 and 45 m/s) and signs of both demyelination and axonal degeneration in nerve biopsies. It presents with usual clinical features of Charcot-Marie-Tooth disease (progressive muscle weakness and atrophy of the distal extremities, distal sensory loss, reduced or absent deep tendon reflexes, and feet deformities) in the first to second decade of life with steady progression until the fourth decade, severe progression and stabilization afterwards."	"100043"
